taxon	matK	rpoB	spo-9	Pvr1	Pvr1.1	Waxy	atpE	rpoc1	cox1	rps2	unknown	GGR	5-enolpyruvylshikimate-3-phosphate-synthase	F3H	OSM1	endochitinase	beta-1,3-glucanase	LEAFY	unknown.1	5S-rRNA	NIA	matK.1	rpi-vnt1-like-protein	S	S.1	psbE	CHS-E	hypothetical-protein	COSII_At1g20050	COSII_At1g50020-like-protein	COSII_At2g38020	COSII_At5g14320	COSII_At2g38020.1	rpl32	rps16-trnQ(UUG)-intergenic-spacer	rpl32.1	AT3-1	At1g14300-like-protein	NIA.1	rps16	P	At5g04590-like-protein	unknown.2	TBP1	atpB	trnH-psbA-intergenic-spacer;-may-contain-psbA	At3g24010-like-protein	At3g62940-like-protein	18S-ribosomal-RNA	rbcL	nepGS	osmotin	lfy	glo	rpoC1	S1-RNase	beta-amylase	beta-amylase.1	phyA	trnK(UUU)-rps16-intergenic-spacer	COSII_At1g13380	trnY	contains-promoter-and-5'-UTR	ANS	transposase	unknown.3	H6H	rps3	At1g44760-like-protein	COSII_At2g15890	COSII_At3g10920	putative-progesterone-5-beta-reductase	3-methylcrotonyl-CoA-carboxylase	trnL	flavonoid-3'-hydroxylase	unknown.4	bHLH1	RPB2	adh	unknown.5	contains-tRNA-Leu-(trnL)-and-trnL-trnF-intergenic-spacer	contains-tRNA-Leu-(trnL)-and-trnL-trnF-intergenic-spacer.1	rpl16	ITS1	chloroplast-glutamine-synthetase	bHLH2	ndhF	ITS2	rpl2	waxy	putative-Pto-like-serine/threonine-kinase	PMT	MPF1-like-protein	S.2	GBSSI	petN	psbB-psbH-intergenic-spacer	NAMT	rbcL.1	disease-resistance-protein-RGH4	TPS17	NADH-dehydrogenase-subunit-1	psbA	5.8S-ribosomal-RNA	PI	myb1	trnS(GCU)-trnG(UCC)-intergenic-spacer	26S-ribosomal-RNA	infA	trnT-trnL-intergenic-region	18S-ribosomal-RNA.1	trnL.1	ndhJ	LFY	S.3	unknown.6	16S-rRNA	WDR1	S.4	S.5	S1-RNase.1	MADS	MPF2-like	unknown.7	NtoDFR	
Solanum thomasiifolium																			GU591099																																																																												GU591150																	GU591049														
Solanum inelegans																																																																																							AF500833								DQ169032																	DQ180432														
Solanum orbiculatum																			GQ163614																																																																												GQ163687																	GQ163547														
Solanum viridifolium																			GQ163632																																																																												GQ163706																	GQ163570														
Solanum hexandrum																			GU591072																																																																												GU591124																	GU591018														
Solanum dennekense																			HQ721855																																																																												HQ721981																	HQ721917														
Solanum stellativelutinum																			GU591094																																																																												GU591145																	GU591044														
Solanum scuticum																			HQ457400																																																																												HQ457419																	HQ457410														
Solanum aggregatum																																																																																							AF500798								DQ169014																	DQ180460														
Solanum lythrocarpum																			GQ163605																																																																												GQ163678																	GQ163536														
Solanum vicinum																			GQ163631																																																																												GQ163705																	GQ163569														
Solanum sessilistellatum																																																																																															AY996468												AY998470					GQ163561														
Solanum pluviale																			GU591085																																																																												GU591136																	GU591035														
Solanum undatum																			JQ638896																																																																												HQ722014																	HQ721953														
Solanum polygamum																			AY996543																																																																												AY996455												AY998456																			
Solanum tribulosum																			GQ143676																																																																												GQ143708																	GQ149760														
Solanum discolor																			GQ163582																																																																												GQ163650																	GQ163502														
Solanum racemosum	EF439033											EU292986																																	AM233130																																																																																	
Solanum schomburgkii																			GU591092																																																																												GU591143																	GU591042														
Solanum pronum																			HQ721875																																																																												HQ722000																	HQ721939														
Solanum polyacanthon																																																																																			FJ384660																FJ384658								FJ384664																			
Solanum sendtnerianum																			GQ143671																																																																												GQ143703																	GQ149756														
Solanum davisense																			GQ143653																																																																												GQ143685																	GQ149739														
Solanum velutissimum																			JN542602																																																																												JN661851																	JN661834														
Solanum riojense																																																																																							AF500856								DQ169044																	DQ180456														
Solanum inaequiradians																			HQ721859																																																																												HQ721984																	HQ721923														
Solanum esuriale																			GQ163587																																																																												GQ163655																	DQ855047														
Solanum oldfieldii																			GQ163612																																																																												GQ163685																	GQ163545														
Solanum phlomoides																			GQ163616																																																																												GQ163690																	GQ163551														
Solanum tetrathecum																			GQ163628																																																																												GQ163702																	GQ163566														
Solanum somalense																			HQ721882																																																																												HQ722006																	HQ721946														
Solanum acanthodapis																			GQ163571																																																																												GQ163633																	GQ163485														
Solanum lignescens																			JN542591																																																																												JN661844																	JN661827														
Solanum cookii																			GQ163577																																																																												GQ163643																	GQ163495														
Solanum diphyllum	GU134970																																																																																																		GU135208				GU135297																							
Solanum cunninghamii																			DQ364725																																																																												GQ163645																	GQ163497														
Solanum stramoniifolium																																																																																							AF500863								AY562970												AY555476																			
Solanum acutilobum																			GU591054																																																																												GU591106																	GU590995														
Solanum polytrichum																			GU591087																																																																												GU591138																	GU591037														
Solanum zanzibarense																			HQ721895																																																																												HQ722019																	HQ721958														
Solanum umbellatum																			JN542601																																																																												JN661850																	JN661833														
Solanum doddsii																			AY875810																																																																				AF500822																																					EF620608		
Solanum tettense																			HQ721886																																																																												HQ722010																	HQ721949														
Solanum ipomoeoides																																																																																							AF500834								DQ169033																	DQ180448														
Solanum jubae																			HQ721861																																																																												HQ721986																	HQ721925														
Solanum oligacanthum																			GQ163613																																																																												GQ163686																	GQ163546														
Solanum corifolium																			GQ163578																																																																												GQ163644																	GQ163496														
Solanum nobile																			GQ163610																																																																												GQ163683																	GQ163542														
Solanum stipitatostellatum																			HQ721885																																																																												HQ722009																	HQ721948														
Solanum mitchellianum																			GQ163607																																																																												GQ163680																	GQ163539														
Solanum comarapanum																			GU591066																																																																												GU591118																	GU591008														
Solanum ellipticum																			GQ163586																																																																												GQ163654																	GQ163507														
Solanum jabrense																			GU591073																																																																												GU591125																	GU591020														
Solanum mortonii																			GU591080																																																																												GU591131																	GU591028														
Solanum serpens																			GQ163623																																																																												GQ163697																	GQ163560														
Solanum paraibanum																			GU591083																																																																												GU591134																	GU591033														
Solanum angustifolium																			GQ143645																																																																												GQ143677																	GQ149729														
Solanum whalenii																			GU591104																																																																												GU591153																	GU591052														
Solanum pubigerum																																																																																							AF500853								DQ169043																	DQ180455														
Solanum bolivianum																			GU591061																																																																												GU591113																	GU591003														
Solanum goetzei																			GQ163591																																																																												GQ163659																	GQ163512														
Solanum dianthophorum																			GQ163580																																																																												GQ163647																	GQ163499														
Solanum quadriloculatum																			GQ163619																																																																												GQ163693																	GQ163555														
Solanum phoxocarpum																			HQ721869																																																																												HQ721994																	HQ721933														
Solanum vansittartense																			GQ163630																																																																												GQ163704																	GQ163568														
Solanum tequilense	EF439035											EU292991																																	AM233128																																																																																	
Solanum melastomoides																			HQ721864																																																																												HQ721989																	HQ721928														
Solanum dolichorhachis																																																																																															HQ856212												HQ856074					HQ856057														
Solanum johnstonii																			GQ143666																																																																												GQ143699																	GQ149751														
Solanum thomsonii																			HQ721888																																																																												HQ722012																	HQ721950														
Solanum croatii																			HQ721852																																																																												HQ721978																	HQ721915														
Solanum pungetium																			GQ163617																																																																												GQ163691																	GQ163553														
Solanum parcistrigosum																			JN542597																																																																												JN661848																	JN661831														
Solanum aligerum																																																																																							AF500799								DQ169015																	DQ180441														
Solanum coagulans																			HQ721850																																																																												HQ721975																	HQ721913														
Solanum tetramerum																			GU591098																																																																												GU591149																	GU591048														
Solanum megistacrolobum																					FJ155434																																																																										HM561779																													EF620679		
Solanum juvenale																			GU591074																																																																												GU591126																	GU591021														
