taxon	trnS	trnH-psbA-intergenic-spacer	trnL	ndhJ	atp1	rps2	rbcL	matR	unknown	18S-ribosomal-RNA	RPC1	DRF	putative-CBF/DREB-transcription-factor	RPB2I	trnS-trnG-intergenic-spacer	rpL16	rpoB	contains-PsbA-(psbA),-psbA-trnH-intergenic-spacer-and-tRNA-His-(trnH)	matK	waxy	putative-UBC35/UBC13A	putative-Lhcb3	atpB-rbcL-intergenic-spacer	rbcL.1	rpoC1	RBP2I	RPB2	RPB2D	RPB2D.1	trnL-trnF-intergenic-spacer	RPC1.1	RPB2I.1	rpoB.1	28S-ribosomal-RNA	putative-uroporphyrinogen-decarboxylase	putative-eukaryotic-translation-initiation-factor-SUI1	unknown.1	unknown.2	COX3	phyA	trnT	putative-cytosolic-glutathione-reductase	trnS-trnG-intergenic-spacer.1	nad1	28S-ribosomal-RNA.1	trnT-trnL-intergenic-spacer	26S-ribosomal-RNA	RPB2I.2	RPB2I.3	RPB2I.4	ndhF	atpB	
Erica hanekomii																																						HQ859079															
Erica labialis																																						HQ859110															
Erica brachialis																																						HQ858944															
Erica nabea																																						HQ859155															
Erica caespitosa																																						HQ858952															
Erica granulosa																																						HQ859075															
Erica woodii																																						HQ859339															
Erica lutea																																						HQ859130															
Erica greyi																																						HQ859077															
Erica heliophila																																						HQ859080															
Erica umbelliflora																																						HQ859156															
Erica prolata																																						HQ859221															
Erica atrovinosa																																						HQ858925															
Erica obtusata																																						HQ859164															
Erica chionodes																																						HQ858972															
Erica axilliflora																																						HQ858929															
Erica angulosa																																						HQ858908															
Erica cubica																																						HQ858992															
Erica madagascariensis																																						HQ859135															
Erica selaginifolia																																						HQ859261															
Erica humifusa																																						HQ859091															
Erica macrotrema																																						HQ859133															
Erica zwartbergensis																																						HQ859341															
Erica tenuifolia																																						HQ859293															
Erica rugata																																						HQ859253															
Erica adunca																																						HQ858894															
Erica mackaiana																																						HQ859131															
Erica tegulifolia																																						HQ859292															
Erica laeta																																						HQ859111															
Erica gysbertii																																						HQ859078															
Erica diaphana																																						HQ859012															
Erica oxysepala																																						HQ859172															
Erica lanuginosa																																						HQ859112															
Erica arborescens																																						HQ858912															
Erica interrupta																																						HQ859101															
Erica leucodesmia																																						HQ859122															
Erica glumiflora																																						HQ859069															
Erica lateralis																																						HQ859114															
Erica oatesii																																						HQ859162															
Erica recurvifolia																																						HQ859229															
Erica juniperina																																						HQ859105															
Erica evansii																																						HQ859035															
Erica calycina																																						HQ858958															
Erica canaliculata																																						HQ858962															
Erica phaeocarpa																																						HQ859058															
Erica tumida																																						HQ859311															
Erica plumigera																																						HQ859214															
Erica strigosa																																						HQ859288															
Erica caffrorum																																						HQ858956															
Erica ribisaria																																						HQ859245															
Erica accommodata																																						HQ858891															
Erica chrysocodon																																						HQ858976															
Erica amidae																																						HQ858905															
Erica multiflexuosa																																						HQ859150															
Erica humidicola																																						HQ859089															
Erica adnata																																						HQ858893															
Erica ampullacea																																						HQ858906															
Erica natalitia																																						HQ859157															
Erica madida																																						HQ859138															
Erica curvirostris																																						HQ858999															
Erica ciliaris																																						HQ858977															
Erica lavandulifolia																																						HQ859116															
Erica cooperi																																						HQ858985															
Erica leucosiphon																																						HQ859125															
Erica autumnalis																																						HQ858928															
Rhododendron kochii																																														AY842200							
Rhododendron spanotrichum		HQ707023																																																			
Rhododendron viriosum																																						AY877288															
Rhododendron periclymenoides																																						AF072488															
Rhododendron cumberlandense																																						AF072484															
Rhododendron habrotrichum		HQ706977																																																			
Rhododendron abietifolium																																														AY842176							
Rhododendron taiwanalpinum																																						AF432479															
Rhododendron pubigermen		AY842231																																																			
Rhododendron parvifolium																																						HM854160															
Rhododendron clementinae																			JF955935																																		
Rhododendron longifalcatum																																						EU296737															
Rhododendron longiperulatum																																						AF285847															
Rhododendron gardenia																																														AY842194							
Rhododendron fauriei																																						HM854166															
Rhododendron prunifolium																																						AF072490															
Rhododendron lamprophyllum																																						AF285855															
Rhododendron diversipilosum																			AB012751																																		
Rhododendron taronense		HQ707028																																																			
Rhododendron mariae							HQ415073																																														
Rhododendron phaeochitum		AY842237																																																			
Rhododendron austrinum																																						AF072480															
Rhododendron haofui																																						AY962552															
Rhododendron sichotense																																						HM854163															
Rhododendron flammeum																																						AF072483															
Rhododendron taiwanianum																																						AF285854															
Rhododendron ledebourii																																						HM854159															
Rhododendron womersleyi																																														AY842213							
Rhododendron denudatum																																						AY962553															
Rhododendron adamsii																																						HM854162															
Rhododendron liliiflorum		HQ706994																																																			
Rhododendron stenopetalum																																						EU855870															
Rhododendron eastmanii																																						HQ453189															
Rhododendron alabamense																																						AF072478															
Rhododendron prinophyllum																																						AF072489															
Rhododendron hainanense																																						EU296731															
Rhododendron lasiostylum																																						GQ505299															
Rhododendron meridionale																																						EU296741															
Dracophyllum lessonianum																																						AY649411															
Dracophyllum adamsii																																						AY649408															
Brachyloma depressum																								JQ667280																													
Trochocarpa dekockii																								JQ667480																													
Arctostaphylos pechoensis																																						AF297767															
Arctostaphylos bakeri																																						AF297774															
